Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,615310890,7894.126679189345,2586691,33.185933754429335,176357,6524568,83.70689866871211,6672,0.08559837646226491,454,
United States of America,Americas,94965623,28690.291,189671,57.302,0,1047392,316.43,2052,0.62,0
India,South-East Asia,44597498,3231.692,25255,1.83,3011,528701,38.312,171,0.012,28
Brazil,Americas,34654190,16303.296,23196,10.913,0,685927,322.699,145,0.068,0
France,Europe,34390313,52876.156,270977,416.635,37453,151537,232.993,200,0.308,0
Germany,Europe,33386229,40143.741,392089,471.449,0,150064,180.438,93,0.112,0
Republic of Korea,Western Pacific,24831761,48434.086,197523,385.267,12150,28509,55.607,263,0.513,20
The United Kingdom,Europe,23672855,34871.481,26623,39.217,0,190317,280.348,57,0.084,0
Italy,Europe,22529252,37774.463,225646,378.337,28906,177150,297.025,270,0.453,20
Japan,Western Pacific,21330772,16865.409,263228,208.124,0,44965,35.552,590,0.466,71
Russian Federation,Europe,21073185,14440.171,240076,164.509,24158,387559,265.571,717,0.491,91
Türkiye,Europe,16873793,20007.09,0,0,0,101139,119.92,0,0,0
Spain,Europe,13422984,28358.848,19482,41.16,0,114179,241.227,170,0.359,0
Viet Nam,Western Pacific,11480518,11794.417,8217,8.442,490,43149,44.329,3,0.003,0
Australia,Western Pacific,10191312,39966.111,0,0,0,14853,58.247,0,0,0
Argentina,Americas,9708420,21480.814,0,0,0,129897,287.41,0,0,0
Netherlands,Europe,8430861,48432.112,12333,70.848,0,22650,130.116,11,0.063,0
China,Western Pacific,7752253,526.903,307284,20.885,44616,26568,1.806,392,0.027,68
Iran (Islamic Republic of),Eastern Mediterranean,7549586,8988.357,2497,2.973,1618,144439,171.966,45,0.054,23
Mexico,Americas,7082034,5492.812,0,0,0,330046,255.983,0,0,0
Indonesia,South-East Asia,6434585,2352.479,10712,3.916,0,158132,57.813,96,0.035,0
Colombia,Americas,6306552,12394.249,0,0,0,141769,278.618,0,0,0
Poland,Europe,6297656,16591.056,23608,62.195,225,117598,309.81,142,0.374,0
Portugal,Europe,5480864,53233.415,805,7.819,0,25008,242.893,4,0.039,0
Ukraine,Europe,5177217,11838.033,0,0,0,109206,249.706,0,0,0
Austria,Europe,5154447,57908.212,80684,906.453,9940,20756,233.186,26,0.292,0
Greece,Europe,4920192,45903.458,0,0,0,33111,308.913,0,0,0
Malaysia,Western Pacific,4843865,14965.906,12043,37.209,1360,36375,112.386,25,0.077,6
Thailand,South-East Asia,4682132,6707.928,3461,4.958,0,32771,46.95,45,0.064,0
Israel,Europe,4664372,53888.856,6143,70.972,937,11704,135.22,9,0.104,1
Chile,Americas,4620377,24169.954,12811,67.016,0,61141,319.839,79,0.413,0
Belgium,Europe,4544505,39440.474,10874,94.372,0,32673,283.56,13,0.113,0
Canada,Americas,4233468,11216.816,0,0,0,44992,119.209,0,0,0
Peru,Americas,4143085,12565.52,2211,6.706,0,216539,656.739,66,0.2,0
Czechia,Europe,4109072,38424.307,18237,170.536,353,41118,384.498,66,0.617,4
Switzerland,Europe,4084315,47192.32,2808,32.445,0,13565,156.737,0,0,0
South Africa,Africa,4018768,6776.019,1216,2.05,0,102185,172.293,16,0.027,0
Philippines,Western Pacific,3953886,3608.183,15686,14.315,2117,63013,57.504,223,0.204,97
Denmark,Europe,3299534,56666.122,8250,141.685,0,7074,121.489,48,0.824,0
Romania,Europe,3269942,16917.427,7889,40.815,444,67031,346.793,53,0.274,4
Sweden,Europe,2588441,25063.362,3180,30.791,0,20225,195.835,4,0.039,0
Iraq,Eastern Mediterranean,2460318,6116.772,813,2.021,0,25356,63.039,4,0.01,0
Serbia,Europe,2364814,34140.533,15774,227.727,1426,17018,245.687,68,0.982,6
Hungary,Europe,2094142,21435.451,11392,116.607,0,47503,486.236,46,0.471,0
Bangladesh,South-East Asia,2026908,1230.746,4500,2.732,696,29371,17.834,12,0.007,2
Singapore,Western Pacific,1914280,32720.822,22939,392.097,2863,1620,27.691,10,0.171,1
Slovakia,Europe,1844453,33794.355,2873,52.64,53,20462,374.908,12,0.22,1
Georgia,Europe,1780691,44638.077,0,0,0,16900,423.646,0,0,0
New Zealand,Western Pacific,1772016,36746.793,19616,406.783,0,3070,63.663,87,1.804,0
Jordan,Eastern Mediterranean,1746997,17122.161,0,0,0,14122,138.408,0,0,0
Ireland,Europe,1663653,33511.393,315,6.345,0,7942,159.978,20,0.403,0
Pakistan,Eastern Mediterranean,1572598,711.93,282,0.128,0,30616,13.86,4,0.002,0
Kazakhstan,Europe,1483764,7902.152,519,2.764,28,19050,101.455,2,0.011,0
Norway,Europe,1462312,27243.413,314,5.85,0,4098,76.347,33,0.615,0
Finland,Europe,1292940,23400.392,9,0.163,0,5981,108.248,0,0,0
Morocco,Eastern Mediterranean,1264972,3427.128,93,0.252,11,16278,44.101,0,0,0
Bulgaria,Europe,1259948,18124.883,4809,69.179,179,37718,542.589,20,0.288,0
Lithuania,Europe,1251410,44787.748,7053,252.426,69,9327,333.812,11,0.394,4
Croatia,Europe,1233728,30401.13,4714,116.161,468,16914,416.789,37,0.912,2
Lebanon,Eastern Mediterranean,1216025,17816.054,1133,16.6,100,10678,156.444,7,0.103,1
Slovenia,Europe,1186855,56628.517,15807,754.201,896,8272,394.683,12,0.573,0
Tunisia,Eastern Mediterranean,1145686,9693.908,341,2.885,0,29249,247.482,3,0.025,0
Guatemala,Americas,1122517,6265.595,2533,14.139,0,19779,110.401,22,0.123,0
Costa Rica,Americas,1117989,21946.665,0,0,0,8970,176.085,0,0,0
Cuba,Americas,1111179,9810.335,33,0.291,0,8530,75.309,0,0,0
Bolivia (Plurinational State of),Americas,1108129,9493.078,276,2.364,0,22234,190.473,2,0.017,0
United Arab Emirates,Eastern Mediterranean,1027933,10393.238,2365,23.912,0,2345,23.71,2,0.02,0
Ecuador,Americas,1003778,5689.366,466,2.641,0,35894,203.446,2,0.011,0
Nepal,South-East Asia,999789,3431.361,175,0.601,30,12018,41.247,1,0.003,0
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0
Panama,Americas,986866,22871.826,0,0,0,8497,196.928,0,0,0
Uruguay,Americas,985422,28367.835,0,0,0,7485,215.474,0,0,0
Mongolia,Western Pacific,983004,29985.267,278,8.48,0,2131,65.003,0,0,0
Puerto Rico,Americas,955893,33412.867,4716,164.846,0,5133,179.422,15,0.524,0
Latvia,Europe,932200,48865.766,7816,409.713,780,5998,314.414,17,0.891,0
Azerbaijan,Europe,821635,8103.569,812,8.009,195,9919,97.828,16,0.158,2
Saudi Arabia,Eastern Mediterranean,816664,2345.801,825,2.37,89,9355,26.871,13,0.037,2
Paraguay,Americas,716059,10039.33,0,0,0,19583,274.559,0,0,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,702768,13775.945,0,0,0,5707,111.871,0,0,0
Bahrain,Eastern Mediterranean,681210,40034.086,2507,147.334,405,1520,89.329,0,0,0
Sri Lanka,South-East Asia,670790,3132.593,72,0.336,0,16762,78.279,6,0.028,0
Kuwait,Eastern Mediterranean,658520,15419.952,0,0,0,2563,60.015,0,0,0
Dominican Republic,Americas,644356,5939.909,0,0,0,4384,40.413,0,0,0
Myanmar,South-East Asia,623914,1146.694,2228,4.095,0,19459,35.764,4,0.007,0
Estonia,Europe,601993,45297.507,240,18.059,0,2681,201.734,14,1.053,0
Republic of Moldova,Europe,589437,14611.859,0,0,0,11844,293.607,0,0,0
Cyprus,Europe,587994,66215.168,2681,301.913,0,1182,133.107,2,0.225,0
Venezuela (Bolivarian Republic of),Americas,544687,1915.488,237,0.833,0,5814,20.446,0,0,0
Egypt,Eastern Mediterranean,515381,503.624,10,0.01,10,24797,24.231,0,0,0
Libya,Eastern Mediterranean,507004,7378.583,49,0.713,10,6437,93.68,0,0,0
Ethiopia,Africa,493510,429.275,0,0,0,7572,6.586,0,0,0
Réunion,Africa,476571,53229.6,623,69.585,0,895,99.965,3,0.335,0
Honduras,Americas,456391,4607.866,55,0.555,0,10993,110.989,1,0.01,0
Qatar,Eastern Mediterranean,451675,15677.428,5398,187.362,0,682,23.672,0,0,0
Armenia,Europe,442875,14945.664,0,0,0,8683,293.024,0,0,0
Bosnia and Herzegovina,Europe,398796,12155.394,415,12.649,0,16138,491.89,14,0.427,0
Oman,Eastern Mediterranean,398424,7802.099,431,8.44,0,4628,90.627,0,0,0
North Macedonia,Europe,342961,16461.759,442,21.216,0,9534,457.622,7,0.336,0
Kenya,Africa,338439,629.405,49,0.091,0,5678,10.56,3,0.006,0
Zambia,Africa,333503,1814.098,116,0.631,0,4017,21.851,0,0,0
Albania,Europe,331139,11506.672,309,10.737,22,3589,124.713,0,0,0
Botswana,Africa,326309,13875.883,0,0,0,2781,118.259,0,0,0
Luxembourg,Europe,291758,46598.67,1307,208.75,0,1129,180.32,2,0.319,0
Montenegro,Europe,280480,44658.011,1074,171.002,128,2782,442.95,1,0.159,0
Kosovo[1],Europe,272035,15149.532,34,1.893,3,3189,177.594,0,0,0
Algeria,Africa,270668,617.244,21,0.048,0,6879,15.687,0,0,0
Nigeria,Africa,265431,128.763,245,0.119,0,3155,1.531,0,0,0
Mauritius,Africa,262648,20652.194,0,0,0,1026,80.675,0,0,0
Zimbabwe,Africa,257342,1731.436,0,0,0,5599,37.671,0,0,0
Uzbekistan,Europe,244245,729.761,85,0.254,7,1637,4.891,0,0,0
Mozambique,Africa,230312,736.87,0,0,0,2222,7.109,0,0,0
Brunei Darussalam,Western Pacific,227756,52061.013,0,0,0,132,30.173,1,0.229,0
Martinique,Americas,220192,58676.402,0,0,0,1042,277.67,0,0,0
Lao People's Democratic Republic,Western Pacific,215876,2967.139,162,2.227,16,757,10.405,0,0,0
Kyrgyzstan,Europe,206160,3159.932,77,1.18,77,2991,45.845,0,0,0
Iceland,Europe,205637,56472.892,40,10.985,0,213,58.495,0,0,0
El Salvador,Americas,201785,3110.987,0,0,0,4229,65.2,0,0,0
Afghanistan,Eastern Mediterranean,199272,511.894,817,2.099,0,7799,20.034,2,0.005,0
Guadeloupe,Americas,192801,48185.313,0,0,0,989,247.173,0,0,0
Maldives,South-East Asia,185082,34239.951,40,7.4,0,308,56.98,0,0,0
Trinidad and Tobago,Americas,183181,13089.144,584,41.73,0,4207,300.61,12,0.857,0
Ghana,Africa,169385,545.121,285,0.917,0,1459,4.695,0,0,0
Uganda,Africa,169120,369.734,6,0.013,0,3630,7.936,0,0,0
Namibia,Africa,166766,6563.252,0,0,0,4080,160.573,0,0,0
Jamaica,Americas,151791,5126.053,141,4.762,0,3314,111.915,4,0.135,0
Cambodia,Western Pacific,137885,824.722,45,0.269,4,3056,18.279,0,0,0
Rwanda,Africa,132504,1023.022,16,0.124,0,1466,11.319,0,0,0
Cameroon,Africa,121652,458.271,0,0,0,1935,7.289,0,0,0
Malta,Europe,114730,22296.546,147,28.568,11,806,156.637,2,0.389,0
Angola,Africa,103131,313.79,0,0,0,1917,5.833,0,0,0
Barbados,Americas,102516,35673.249,80,27.838,0,559,194.519,0,0,0
French Guiana,Americas,93974,31462.894,0,0,0,410,137.27,0,0,0
Democratic Republic of the Congo,Africa,92892,103.719,0,0,0,1443,1.611,0,0,0
Senegal,Africa,88408,528,53,0.317,0,1968,11.754,0,0,0
Malawi,Africa,88005,460.038,0,0,0,2680,14.009,0,0,0
Côte d’Ivoire,Africa,87258,330.795,123,0.466,0,826,3.131,3,0.011,0
Suriname,Americas,81106,13825.703,7,1.193,0,1385,236.093,0,0,0
French Polynesia,Western Pacific,76599,27268.358,11,3.916,0,649,231.036,0,0,0
New Caledonia,Western Pacific,74288,26020.498,31,10.858,0,314,109.983,0,0,0
Eswatini,Africa,73390,6325.83,0,0,0,1422,122.569,0,0,0
Guyana,Americas,71331,9068.822,19,2.416,0,1281,162.863,0,0,0
Belize,Americas,68826,17309.143,42,10.563,0,683,171.769,0,0,0
Fiji,Western Pacific,68242,7612.514,0,0,0,878,97.942,0,0,0
